,vol,issue,index,type,title
0,73,1,0,Mini review,Regulated Shuttling of the Histone Deacetylase HDAC5 to the Nucleus May Put a Brake on Cocaine Addiction
1,73,1,1,Mini review,Spontaneous Neurotransmission: A SNARE for the Rest
2,73,1,2,Mini review,Adaptive Switches in Midbrain Circuits
3,73,1,3,Review article,The Challenges and Promise of Neuroimaging in Psychiatry
4,73,1,4,Review article,Extrasynaptic GABAA Receptors: Their Function in the CNS and Implications for Disease
5,73,1,5,Research article,Cell-Type-Based Analysis of MicroRNA Profiles in the Mouse Brain
6,73,1,6,Research article,Otic Mesenchyme Cells Regulate Spiral Ganglion Axon Fasciculation through a Pou3f4/EphA4 Signaling Pathway
7,73,1,7,Research article,Integrins Regulate Repulsion-Mediated Dendritic Patterning of Drosophila Sensory Neurons by Restricting Dendrites in a 2D Space
8,73,1,8,Research article,Integrins Establish Dendrite-Substrate Relationships that Promote Dendritic Self-Avoidance and Patterning in Drosophila Sensory Neurons
9,73,1,9,Research article,Assembly and Maintenance of Nodes of Ranvier Rely on Distinct Sources of Proteins and Targeting Mechanisms
10,73,1,10,Research article,Histone Deacetylase 5 Limits Cocaine Reward through cAMP-Induced Nuclear Import
11,73,1,11,Research article,Vti1a Identifies a Vesicle Pool that Preferentially Recycles at Rest and Maintains Spontaneous Neurotransmission
12,73,1,12,Research article,"NMDA Receptor-Mediated PIP5K Activation to Produce PI(4,5)P2 Is Essential for AMPA Receptor Endocytosis during LTD"
13,73,1,13,Research article,Identification of an Inhibitory Circuit that Regulates Cerebellar Golgi Cell Activity
14,73,1,14,Research article,Parvalbumin-Expressing Interneurons Linearly Transform Cortical Responses to Visual Stimuli
15,73,1,15,Research article,Inferotemporal Cortex Subserves Three-Dimensional Structure Categorization
16,73,1,16,Research article,Neural Activities in V1 Create a Bottom-Up Saliency Map
17,73,1,17,Research article,Reciprocal Inhibition of Inhibition: A Circuit Motif for Flexible Categorization in Stimulus Selection
18,73,2,0,Mini review,Releasing the Inner Inhibition for Axon Regeneration
19,73,2,1,Mini review,Food for Thought: The Physiological Relevance of Ghrelin and Dopamine D2 Receptor Heterodimerization in the Regulation of Appetite
20,73,2,2,Mini review,JAK/STAT: The Enigma within the Mystery of NMDAR-LTD
21,73,2,3,Mini review,Open Neuroscience Solutions for the Connectome-wide Association Era
22,73,2,4,Review article,Understanding Migraine through the Lens of Maladaptive Stress Responses: A Model Disease of Allostatic Load
23,73,2,5,Review article,Signal Processing in the Axon Initial Segment
24,73,2,6,Research article,Photoactivatable Neuropeptides for Spatiotemporally Precise Delivery of Opioids in Neural Tissue
25,73,2,7,Short communication,Postsynaptic Complexin Controls AMPA Receptor Exocytosis during LTP
26,73,2,8,Research article,Notch Signaling Inhibits Axon Regeneration
27,73,2,9,Research article,Homeodomain Protein Otp and Activity-Dependent Splicing Modulate Neuronal Adaptation to Stress
28,73,2,10,Research article,Bhlhb5 and Prdm8 Form a Repressor Complex Involved in Neuronal Circuit Assembly
29,73,2,11,Research article,RNA Editing of the IQ Domain in Cav1.3 Channels Modulates Their Ca2+-Dependent Inactivation
30,73,2,12,Research article,Apo-Ghrelin Receptor Forms Heteromers with DRD2 in Hypothalamic Neurons and Is Essential for Anorexigenic Effects of DRD2 Agonism
31,73,2,13,Research article,Closed-Loop Measurements of Iso-Response Stimuli Reveal Dynamic Nonlinear Stimulus Integration in the Retina
32,73,2,14,Research article,RGS4 Is Required for Dopaminergic Control of Striatal LTD and Susceptibility to Parkinsonian Motor Deficits
33,73,2,15,Research article,Endocannabinoids Shape Accumbal Encoding of Cue-Motivated Behavior via CB1 Receptor Activation in the Ventral Tegmentum
