,vol,issue,index,type,title,num_citations
3,73,1,3,Review article,The Challenges and Promise of Neuroimaging in Psychiatry,181
4,73,1,4,Review article,Extrasynaptic GABAA Receptors: Their Function in the CNS and Implications for Disease,506
5,73,1,5,Research article,Cell-Type-Based Analysis of MicroRNA Profiles in the Mouse Brain,230
6,73,1,6,Research article,Otic Mesenchyme Cells Regulate Spiral Ganglion Axon Fasciculation through a Pou3f4/EphA4 Signaling Pathway,64
7,73,1,7,Research article,Integrins Regulate Repulsion-Mediated Dendritic Patterning of Drosophila Sensory Neurons by Restricting Dendrites in a 2D Space,123
8,73,1,8,Research article,Integrins Establish Dendrite-Substrate Relationships that Promote Dendritic Self-Avoidance and Patterning in Drosophila Sensory Neurons,88
9,73,1,9,Research article,Assembly and Maintenance of Nodes of Ranvier Rely on Distinct Sources of Proteins and Targeting Mechanisms,78
10,73,1,10,Research article,Histone Deacetylase 5 Limits Cocaine Reward through cAMP-Induced Nuclear Import,93
11,73,1,11,Research article,Vti1a Identifies a Vesicle Pool that Preferentially Recycles at Rest and Maintains Spontaneous Neurotransmission,143
12,73,1,12,Research article,"NMDA Receptor-Mediated PIP5K Activation to Produce PI(4,5)P2 Is Essential for AMPA Receptor Endocytosis during LTD",71
13,73,1,13,Research article,Identification of an Inhibitory Circuit that Regulates Cerebellar Golgi Cell Activity,92
14,73,1,14,Research article,Parvalbumin-Expressing Interneurons Linearly Transform Cortical Responses to Visual Stimuli,490
15,73,1,15,Research article,Inferotemporal Cortex Subserves Three-Dimensional Structure Categorization,48
16,73,1,16,Research article,Neural Activities in V1 Create a Bottom-Up Saliency Map,167
17,73,1,17,Research article,Reciprocal Inhibition of Inhibition: A Circuit Motif for Flexible Categorization in Stimulus Selection,62
22,73,2,4,Review article,Understanding Migraine through the Lens of Maladaptive Stress Responses: A Model Disease of Allostatic Load,244
23,73,2,5,Review article,Signal Processing in the Axon Initial Segment,341
24,73,2,6,Research article,Photoactivatable Neuropeptides for Spatiotemporally Precise Delivery of Opioids in Neural Tissue,45
26,73,2,8,Research article,Notch Signaling Inhibits Axon Regeneration,76
27,73,2,9,Research article,Homeodomain Protein Otp and Activity-Dependent Splicing Modulate Neuronal Adaptation to Stress,54
28,73,2,10,Research article,Bhlhb5 and Prdm8 Form a Repressor Complex Involved in Neuronal Circuit Assembly,94
29,73,2,11,Research article,RNA Editing of the IQ Domain in Cav1.3 Channels Modulates Their Ca2+-Dependent Inactivation,100
30,73,2,12,Research article,Apo-Ghrelin Receptor Forms Heteromers with DRD2 in Hypothalamic Neurons and Is Essential for Anorexigenic Effects of DRD2 Agonism,258
31,73,2,13,Research article,Closed-Loop Measurements of Iso-Response Stimuli Reveal Dynamic Nonlinear Stimulus Integration in the Retina,72
32,73,2,14,Research article,RGS4 Is Required for Dopaminergic Control of Striatal LTD and Susceptibility to Parkinsonian Motor Deficits,183
33,73,2,15,Research article,Endocannabinoids Shape Accumbal Encoding of Cue-Motivated Behavior via CB1 Receptor Activation in the Ventral Tegmentum,120
34,73,2,16,Research article,The JAK/STAT Pathway Is Involved in Synaptic Plasticity,177
35,73,2,17,Research article,Regular Spiking and Intrinsic Bursting Pyramidal Cells Show Orthogonal Forms of Experience-Dependent Plasticity in Layer V of Barrel Cortex,80
39,73,3,3,Review article,Chi-Bin Chien: A Tribute,201
40,73,3,4,Review article,How Does the Brain Solve Visual Object Recognition?,1169
42,73,3,6,Research article,Differential Effects of Unfolded Protein Response Pathways on Axon Injury-Induced Death of Retinal Ganglion Cells,138
43,73,3,7,Research article,HBL-1 Patterns Synaptic Remodeling in C. elegans,43
44,73,3,8,Research article,The Nogo Receptor Family Restricts Synapse Number in the Developing Hippocampus,119
45,73,3,9,Research article,Palmitoylation by DHHC5/8 Targets GRIP1 to Dendritic Endosomes to Regulate AMPA-R Trafficking,142
46,73,3,10,Research article,Pull-Push Neuromodulation of LTP and LTD Enables Bidirectional Experience-Induced Synaptic Scaling in Visual Cortex,121
47,73,3,11,Research article,Fasting Activation of AgRP Neurons Requires NMDA Receptors and Involves Spinogenesis and Increased Excitatory Tone,203
48,73,3,12,Research article,Basal Ganglia Beta Oscillations Accompany Cue Utilization,232
49,73,3,13,Research article,Molecular Microcircuitry Underlies Functional Specification in a Basal Ganglia Circuit Dedicated to Vocal Learning,97
50,73,3,14,Research article,Evoked Axonal Oxytocin Release in the Central Amygdala Attenuates Fear Response,684
51,73,3,15,Research article,Gamma Oscillations Are Generated Locally in an Attention-Related Midbrain Network,46
52,73,3,16,Research article,Cell-Type-Specific Synchronization of Neural Activity in FEF with V4 during Attention,187
53,73,3,17,Research article,Rostrolateral Prefrontal Cortex and Individual Differences in Uncertainty-Driven Exploration,168
61,73,4,5,Review article,Deconstructing the Neuropathic Pain Phenotype to Reveal Neural Mechanisms,668
62,73,4,6,Review article,Rethinking the Emotional Brain,1393
64,73,4,8,Research article,Propagation of Tau Pathology in a Model of Early Alzheimer's Disease,1087
65,73,4,9,Research article,A Cascade of Morphogenic Signaling Initiated by the Meninges Controls Corpus Callosum Formation,63
66,73,4,10,Research article,Dual-Mode Modulation of Smad Signaling by Smad-Interacting Protein Sip1 Is Required for Myelination in the Central Nervous System,146
67,73,4,11,Research article,A Central Role for the ERK-Signaling Pathway in Controlling Schwann Cell Plasticity and Peripheral Nerve Regeneration In Vivo,325
68,73,4,12,Research article,Motor Protein KIF1A Is Essential for Hippocampal Synaptogenesis and Learning Enhancement in an Enriched Environment,111
69,73,4,13,Research article,Encoding of Luminance and Contrast by Linear and Nonlinear Synapses in the Retina,70
70,73,4,14,Research article,EPAC Null Mutation Impairs Learning and Social Interactions via Aberrant Regulation of miR-124 and Zif268 Translation,151
71,73,4,15,Research article,Functional Split between Parietal and Entorhinal Cortices in the Rat,119
72,73,4,16,Research article,Tuned Normalization Explains the Size of Attention Modulations,70
73,73,4,17,Research article,Sound-Driven Synaptic Inhibition in Primary Visual Cortex,245
74,73,4,18,Research article,Only Coherent Spiking in Posterior Parietal Cortex Coordinates Looking and Reaching,94
75,73,4,19,Research article,Computerized Cognitive Training Restores Neural Activity within the Reality Monitoring Network in Schizophrenia,258
80,73,5,3,Review article,Imaging Calcium in Neurons,1023
81,73,5,4,Review article,Intercellular (Mis)communication in Neurodegenerative Disease,114
83,73,5,6,Research article,A Radial Glia-Specific Role of RhoA in Double Cortex Formation,135
84,73,5,7,Research article,CYSL-1 Interacts with the O2-Sensing Hydroxylase EGL-9 to Promote H2S-Modulated Hypoxia-Induced Behavioral Plasticity in C. elegans,72
85,73,5,8,Research article,Dopaminergic Modulation of Sucrose Acceptance Behavior in Drosophila,171
86,73,5,9,Research article,"GlialCAM, a Protein Defective in a Leukodystrophy, Serves as a ClC-2 Cl− Channel Auxiliary Subunit",120
87,73,5,10,Research article,Repeated Stress Causes Cognitive Impairment by Suppressing Glutamate Receptor Expression and Function in Prefrontal Cortex,409
88,73,5,11,Research article,Methamphetamine-Evoked Depression of GABAB Receptor Signaling in GABA Neurons of the VTA,113
89,73,5,12,Research article,Distinct Neuronal Coding Schemes in Memory Revealed by Selective Erasure of Fast Synchronous Synaptic Transmission,146
90,73,5,13,Research article,Linking the Computational Structure of Variance Adaptation to Biophysical Mechanisms,85
91,73,5,14,Research article,The Generation of Direction Selectivity in the Auditory System,60
92,73,5,15,Research article,Deafening Drives Cell-Type-Specific Changes to Dendritic Spines in a Sensorimotor Nucleus Important to Learned Vocalizations,49
93,73,5,16,Research article,Impulse Control and Underlying Functions of the Left DLPFC Mediate Age-Related and Age-Independent Individual Differences in Strategic Social Behavior,245
100,73,6,5,Review article,"Growth Cone Travel in Space and Time: the Cellular Ensemble of Cytoskeleton, Adhesion, and Membrane",214
101,73,6,6,Research article,Transcriptional Architecture of the Primate Neocortex,189
104,73,6,9,Research article,Sonic Hedgehog Expression in Corticofugal Projection Neurons Directs Cortical Microcircuit Formation,89
105,73,6,10,Research article,Chemical Genetic Identification of NDR1/2 Kinase Substrates AAK1 and Rabin8 Uncovers Their Roles in Dendrite Arborization and Spine Development,108
